NAME,ID,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,Ignore
NEULANDVETO1,1,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,0,31,8,31,0,31,8,0
NEULANDVETO2,2,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,1,31,9,31,1,31,9,0
NEULANDVETO3,3,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,2,31,10,31,2,31,10,0
NEULANDVETO4,4,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,3,31,11,31,3,31,11,0
NEULANDVETO5,5,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,4,31,12,31,4,31,12,0
NEULANDVETO6,6,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,5,31,13,31,5,31,13,0
NEULANDVETO7,7,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,6,31,14,31,6,31,14,0
NEULANDVETO8,8,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,7,31,15,31,7,31,15,0
tref,9,13,1,1,0,0,1100,0,0,0,1,0,0,0,0,1,0,0,0,0,31,16,31,17,31,16,31,17,0
