run number,ridf events,run type,Ion Chamber,PPAC,Plastic,NEULAND,NEULANDVETO,SAMURAIBDC1,SAMURAIBDC2,Custom TOF,DC TPF,Placekeeper
1836,25733,9,1735,1735,1735,,,,,,1931,0
1837,0,9,1735,1735,1735,,,,,,1931,0
1838,21306,9,1735,1735,1735,,,,,,1931,0
1839,0,9,1735,1735,1735,,,,,,1931,0
1840,0,9,1735,1735,1735,,,,,,1931,0
1841,0,9,1735,1735,1735,,,,,,1931,0
1842,-1,,1735,1735,1735,,,,,,1931,0
1843,-1,9,1735,1735,1735,,,,,,1931,0
1844,-1,9,1735,1735,1735,,,,,,1931,0
1845,-1,9,1735,1735,1735,,,,,,1931,0
1846,-1,9,1735,1735,1735,,,,,,1931,0
1847,25900,9,1735,1735,1735,,,,,,1931,0
1848,-1,9,1735,1735,1735,,,,,,1931,0
1849,-1,9,1735,1735,1735,,,,,,1931,0
1850,-1,9,1735,1735,1735,,,,,,1931,0
1851,-1,9,1735,1735,1735,,,,,,1931,0
1852,-1,9,1735,1735,1735,,,,,,1931,0
1853,-1,9,1735,1735,1735,,,,,,1931,0
1854,-1,9,1735,1735,1735,,,,,,1931,0
1855,-1,9,1735,1735,1735,,,,,,1931,0
1856,-1,,1735,1735,1735,,,,,,1931,0
1857,-1,,1735,1735,1735,,,,,,1931,0
1858,-1,,1735,1735,1735,,,,,,1931,0
1859,-1,,1735,1735,1735,,,,,,1931,0
1860,-1,9,1735,1735,1735,,,,,,1931,0
1861,10312,9,1735,1735,1735,,,,,,1931,0
1862,23202,9,1735,1735,1735,,,,,,1931,0
1863,9138,9,1735,1735,1735,,,,,,1931,0
1864,11179,9,1735,1735,1735,,,,,,1931,0
1865,-1,,1735,1735,1735,,,,,,1931,0
1866,10804,9,1735,1735,1735,,,,,,1931,0
1867,5648,9,1735,1735,1735,,,,,,1931,0
1868,22852,9,1735,1735,1735,,,,,,1931,0
1869,26703,9,1735,1735,1735,,,,,,1931,0
1870,6158,9,1735,1735,1735,,,,,,1931,0
1871,12315,9,1735,1735,1735,,,,,,1931,0
1872,27281,9,1735,1735,1735,,,,,,1931,0
1873,18461,9,1735,1735,1735,,,,,,1931,0
1874,6238,9,1735,1735,1735,,,,,,1931,0
1875,9265,9,1735,1735,1735,,,,,,1931,0
1876,0,9,1735,1735,1735,,,,,,1931,0
1877,1206,9,1735,1735,1735,,,,,,1931,0
1878,5851,9,1735,1735,1735,,,,,,1931,0
1879,4791,9,1735,1735,1735,,,,,,1931,0
1880,31476,9,1735,1735,1735,,,,,,1931,0
1881,3891,9,1735,1735,1735,,,,,,1931,0
1882,23275,9,1735,1735,1735,,,,,,1931,0
1883,291,9,1735,1735,1735,,,,,,1931,0
1884,9623,9,1735,1735,1735,,,,,,1931,0
1885,0,9,1735,1735,1735,,,,,,1931,0
1886,0,9,1735,1735,1735,,,,,,1931,0
1887,164,9,1735,1735,1735,,,,,,1931,0
1888,254,9,1735,1735,1735,,,,,,1931,0
1889,5452,9,1735,1735,1735,,,,,,1931,0
1890,20243,9,1735,1735,1735,,,,,,1931,0
1891,11579,9,1735,1735,1735,,,,,,1931,0
1892,4019,9,1735,1735,1735,,,,,,1931,0
1893,838,9,1735,1735,1735,,,,,,1931,0
1894,451,9,1735,1735,1735,,,,,,1931,0
1895,3217,9,1735,1735,1735,,,,,,1931,0
1896,3789,9,1735,1735,1735,,,,,,1931,0
1897,-1,,1735,1735,1735,,,,,,1931,0
1898,-1,,1735,1735,1735,,,,,,1931,0
1899,-1,9,1735,1735,1735,,,,,,1931,0
1900,68,9,1735,1735,1735,,,,,,1931,0
1901,1346,9,1735,1735,1735,,,,,,1931,0
1902,224,9,1735,1735,1735,,,,,,1931,0
1903,1379,9,1735,1735,1735,,,,,,1931,0
1904,-1,9,1735,1735,1735,,,,,,1931,0
1905,0,9,1735,1735,1735,,,,,,1931,0
1906,216,9,1735,1735,1735,,,,,,1931,0
1907,248,9,1735,1735,1735,,,,,,1931,0
1908,-1,9,1735,1735,1735,,,,,,1931,0
1909,406,9,1735,1735,1735,,,,,,1931,0
1910,52572,9,1735,1735,1735,,,,,,1931,0
1911,7078,9,1735,1735,1735,,,,,,1931,0
1912,7039,9,1735,1735,1735,,,,,,1931,0
1913,7040,9,1735,1735,1735,,,,,,1931,0
1914,7163,9,1735,1735,1735,,,,,,1931,0
1915,7180,9,1735,1735,1735,,,,,,1931,0
1916,5617,9,1735,1735,1735,,,,,,1931,0
1917,10447,9,1735,1735,1735,,,,,,1931,0
1918,9907,9,1735,1735,1735,,,,,,1931,0
1919,10186,9,1735,1735,1735,,,,,,1931,0
1920,10645,9,1735,1735,1735,,,,,,1931,0
1921,10997,9,1735,1735,1735,,,,,,1931,0
1922,11205,9,1735,1735,1735,,,,,,1931,0
1923,10840,9,1735,1735,1735,,,,,,1931,0
1924,9072,9,1735,1735,1735,,,,,,1931,0
1925,26210,9,1735,1735,1735,,,,,,1931,0
1926,4506,9,1735,1735,1735,,,,,,1931,0
1927,-1,,1735,1735,1735,,,,,,1931,0
1928,13081,9,1735,1735,1735,,,,,,1931,0
1929,9390,9,1735,1735,1735,,,,,,1931,0
1930,41507,9,1735,1735,1735,,,,,,1931,0
1931,50093,9,1735,1735,1735,,,,,,1931,0
1932,46175,9,1735,1735,1735,,,,,,1931,0
1933,3089,2,,,,,,,,,1931,0
1934,0,9,,,,,,,,,1931,0
1935,2,9,,,,,,,,,1931,0
1936,-1,9,,,,,,,,,1931,0
1937,-1,9,,,,,,,,,1931,0
1938,-1,9,,,,,,,,,1931,0
1939,-1,9,,,,,,,,,1931,0
1940,-1,9,,,,,,,,,1931,0
1941,-1,9,,,,,,,,,1931,0
1942,-1,9,,,,,,,,,1931,0
1943,-1,9,,,,,,,,,1931,0
1944,-1,9,,,,,,,,,1931,0
1945,-1,9,,,,,,,,,1931,0
1946,-1,9,,,,,,,,,1931,0
1947,-1,9,,,,,,,,,1931,0
1948,-1,9,,,,,,,,,1931,0
1949,-1,9,,,,,,,,,1931,0
1950,-1,9,,,,,,,,,1931,0
1951,-1,,,,,,,,,,1931,0
1952,-1,9,,,,,,,,,1931,0
1953,-1,9,,,,,,,,,1931,0
1954,-1,9,,,,,,,,,1931,0
1955,-1,9,,,,,,,,,1931,0
1956,-1,9,,,,,,,,,1931,0
1957,-1,9,,,,,,,,,1931,0
1958,-1,9,,,,,,,,,1931,0
1959,-1,9,,,,,,,,,1931,0
1960,-1,9,,,,,,,,,1931,0
1961,-1,9,,,,,,,,,1931,0
1962,-1,9,,,,,,,,,1931,0
1963,-1,9,,,,,,,,,1931,0
1964,-1,9,,,,,,,,,1931,0
1965,-1,9,,,,,,,,,1931,0
1966,-1,9,,,,,,,,,1931,0
1967,-1,9,,,,,,,,,1931,0
1968,-1,9,,,,,,,,,1931,0
1969,-1,9,,,,,,,,,1931,0
1970,-1,9,,,,,,,,,1931,0
1971,-1,9,,,,,,,,,1931,0
1972,-1,,,,,,,,,,1931,0
1973,-1,9,,,,,,,,,1931,0
1974,-1,,,,,,,,,,1931,0
1975,-1,,,,,,,,,,1931,0
1976,-1,,,,,,,,,,1931,0
1977,-1,,,,,,,,,,1931,0
1978,-1,,,,,,,,,,1931,0
1979,-1,,,,,,,,,,1931,0
1980,-1,,,,,,,,,,1931,0
1981,-1,9,,,,,,,,,1931,0
1982,-1,9,,,,,,,,,1931,0
1983,-1,9,,,,,,,,,1931,0
1984,-1,9,,,,,,,,,1931,0
1985,-1,9,,,,,,,,,1931,0
1986,-1,9,,,,,,,,,1931,0
1987,-1,9,,,,,,,,,1931,0
