NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch,dxcorr_factor
BDC1_2_7,13,2,23,Y,7,0,-7.2,0,27,3,7,9.31E-001
BDC1_2_8,13,2,23,Y,8,-5,-7.2,0,27,3,8,9.31E-001
BDC1_2_9,13,2,23,Y,9,-10,-7.2,0,27,3,9,9.31E-001
BDC1_2_10,13,2,23,Y,10,-15,-7.2,0,27,3,10,9.31E-001
BDC1_2_11,13,2,23,Y,11,-20,-7.2,0,27,3,11,9.31E-001
BDC1_2_12,13,2,23,Y,12,-25,-7.2,0,27,3,12,9.31E-001
BDC1_2_13,13,2,23,Y,13,-30,-7.2,0,27,3,13,9.31E-001
BDC1_2_14,13,2,23,Y,14,-35,-7.2,0,27,3,14,9.31E-001
BDC1_2_15,13,2,23,Y,15,-40,-7.2,0,27,3,15,9.31E-001
BDC1_3_0,13,3,24,Y,0,37.5,-2.4,0,27,3,31,1.43949
BDC1_3_1,13,3,24,Y,1,32.5,-2.4,0,27,3,30,1.43949
BDC1_3_2,13,3,24,Y,2,27.5,-2.4,0,27,3,29,1.43949
BDC1_3_3,13,3,24,Y,3,22.5,-2.4,0,27,3,28,1.43949
BDC1_3_4,13,3,24,Y,4,17.5,-2.4,0,27,3,27,1.43949
BDC1_3_5,13,3,24,Y,5,12.5,-2.4,0,27,3,26,1.43949
BDC1_3_6,13,3,24,Y,6,7.5,-2.4,0,27,3,25,1.43949
BDC1_3_7,13,3,24,Y,7,2.5,-2.4,0,27,3,24,1.43949
BDC1_3_8,13,3,24,Y,8,-2.5,-2.4,0,27,3,23,1.43949
BDC1_3_9,13,3,24,Y,9,-7.5,-2.4,0,27,3,22,1.43949
BDC1_3_10,13,3,24,Y,10,-12.5,-2.4,0,27,3,21,1.43949
BDC1_3_11,13,3,24,Y,11,-17.5,-2.4,0,27,3,20,1.43949
BDC1_3_12,13,3,24,Y,12,-22.5,-2.4,0,27,3,19,1.43949
BDC1_3_13,13,3,24,Y,13,-27.5,-2.4,0,27,3,18,1.43949
BDC1_3_14,13,3,24,Y,14,-32.5,-2.4,0,27,3,17,1.43949
BDC1_3_15,13,3,24,Y,15,-37.5,-2.4,0,27,3,16,1.43949
BDC1_4_0,13,4,25,X,0,35,2.4,0,27,2,32,1.17807
BDC1_4_1,13,4,25,X,1,30,2.4,0,27,2,33,1.17807
BDC1_4_2,13,4,25,X,2,25,2.4,0,27,2,34,1.17807
BDC1_4_3,13,4,25,X,3,20,2.4,0,27,2,35,1.17807
BDC1_4_4,13,4,25,X,4,15,2.4,0,27,2,36,1.17807
BDC1_4_5,13,4,25,X,5,10,2.4,0,27,2,37,1.17807
BDC1_4_6,13,4,25,X,6,5,2.4,0,27,2,38,1.17807
BDC1_4_7,13,4,25,X,7,0,2.4,0,27,2,39,1.17807
BDC1_4_8,13,4,25,X,8,-5,2.4,0,27,2,40,1.17807
BDC1_4_9,13,4,25,X,9,-10,2.4,0,27,2,41,1.17807
BDC1_4_10,13,4,25,X,10,-15,2.4,0,27,2,42,1.17807
BDC1_4_11,13,4,25,X,11,-20,2.4,0,27,2,43,1.17807
BDC1_4_12,13,4,25,X,12,-25,2.4,0,27,2,44,1.17807
BDC1_4_13,13,4,25,X,13,-30,2.4,0,27,2,45,1.17807
BDC1_4_14,13,4,25,X,14,-35,2.4,0,27,2,46,1.17807
BDC1_4_15,13,4,25,X,15,-40,2.4,0,27,2,47,1.17807
BDC1_5_0,13,5,26,X,0,37.5,7.2,0,27,2,63,7.62E-001
BDC1_5_1,13,5,26,X,1,32.5,7.2,0,27,2,62,7.62E-001
BDC1_5_2,13,5,26,X,2,27.5,7.2,0,27,2,61,7.62E-001
BDC1_5_3,13,5,26,X,3,22.5,7.2,0,27,2,60,7.62E-001
BDC1_5_4,13,5,26,X,4,17.5,7.2,0,27,2,59,7.62E-001
BDC1_5_5,13,5,26,X,5,12.5,7.2,0,27,2,58,7.62E-001
BDC1_5_6,13,5,26,X,6,7.5,7.2,0,27,2,57,7.62E-001
BDC1_5_7,13,5,26,X,7,2.5,7.2,0,27,2,56,7.62E-001
BDC1_5_8,13,5,26,X,8,-2.5,7.2,0,27,2,55,7.62E-001
BDC1_5_9,13,5,26,X,9,-7.5,7.2,0,27,2,54,7.62E-001
BDC1_5_10,13,5,26,X,10,-12.5,7.2,0,27,2,53,7.62E-001
BDC1_5_11,13,5,26,X,11,-17.5,7.2,0,27,2,52,7.62E-001
BDC1_5_12,13,5,26,X,12,-22.5,7.2,0,27,2,51,7.62E-001
BDC1_5_13,13,5,26,X,13,-27.5,7.2,0,27,2,50,7.62E-001
BDC1_5_14,13,5,26,X,14,-32.5,7.2,0,27,2,49,7.62E-001
BDC1_5_15,13,5,26,X,15,-37.5,7.2,0,27,2,48,7.62E-001
BDC1_6_0,13,6,27,Y,0,35,12,0,27,3,32,1.38999
BDC1_6_1,13,6,27,Y,1,30,12,0,27,3,33,1.38999
BDC1_6_2,13,6,27,Y,2,25,12,0,27,3,34,1.38999
BDC1_6_3,13,6,27,Y,3,20,12,0,27,3,35,1.38999
BDC1_6_4,13,6,27,Y,4,15,12,0,27,3,36,1.38999
BDC1_6_5,13,6,27,Y,5,10,12,0,27,3,37,1.38999
BDC1_6_6,13,6,27,Y,6,5,12,0,27,3,38,1.38999
BDC1_6_7,13,6,27,Y,7,0,12,0,27,3,39,1.38999
BDC1_6_8,13,6,27,Y,8,-5,12,0,27,3,40,1.38999
BDC1_6_9,13,6,27,Y,9,-10,12,0,27,3,41,1.38999
BDC1_6_10,13,6,27,Y,10,-15,12,0,27,3,42,1.38999
BDC1_6_11,13,6,27,Y,11,-20,12,0,27,3,43,1.38999
BDC1_6_12,13,6,27,Y,12,-25,12,0,27,3,44,1.38999
BDC1_6_13,13,6,27,Y,13,-30,12,0,27,3,45,1.38999
BDC1_6_14,13,6,27,Y,14,-35,12,0,27,3,46,1.38999
BDC1_6_15,13,6,27,Y,15,-40,12,0,27,3,47,1.38999
BDC1_7_0,13,7,28,Y,0,37.5,16.8,0,27,3,63,9.32E-001
BDC1_7_1,13,7,28,Y,1,32.5,16.8,0,27,3,62,9.32E-001
BDC1_7_2,13,7,28,Y,2,27.5,16.8,0,27,3,61,9.32E-001
BDC1_7_3,13,7,28,Y,3,22.5,16.8,0,27,3,60,9.32E-001
BDC1_7_4,13,7,28,Y,4,17.5,16.8,0,27,3,59,9.32E-001
BDC1_7_5,13,7,28,Y,5,12.5,16.8,0,27,3,58,9.32E-001
BDC1_7_6,13,7,28,Y,6,7.5,16.8,0,27,3,57,9.32E-001
BDC1_7_7,13,7,28,Y,7,2.5,16.8,0,27,3,56,9.32E-001
BDC1_7_8,13,7,28,Y,8,-2.5,16.8,0,27,3,55,9.32E-001
BDC1_7_9,13,7,28,Y,9,-7.5,16.8,0,27,3,54,9.32E-001
BDC1_7_10,13,7,28,Y,10,-12.5,16.8,0,27,3,53,9.32E-001
BDC1_7_11,13,7,28,Y,11,-17.5,16.8,0,27,3,52,9.32E-001
BDC1_7_12,13,7,28,Y,12,-22.5,16.8,0,27,3,51,9.32E-001
BDC1_7_13,13,7,28,Y,13,-27.5,16.8,0,27,3,50,9.32E-001
BDC1_7_14,13,7,28,Y,14,-32.5,16.8,0,27,3,49,9.32E-001
BDC1_7_15,13,7,28,Y,15,-37.5,16.8,0,27,3,48,9.32E-001
