NAME,FPL,a_ch2ns,x1_ch2ns,y1_ch2ns,x2_ch2ns,y2_ch2ns,xfactor,yfactor,xoffset,yoffset,xns_off,yns_off,xpos_off,ypos_off,xzpos,yzpos,tdc_overflow,txsum_min,txsum_max,tysum_min,tysum_max,Tx1_fpl,Tx1_geo,Tx1_ch,Tx2_fpl,Tx2_geo,Tx2_ch,Ty1_fpl,Ty1_geo,Ty1_ch,Ty2_fpl,Ty2_geo,Ty2_ch,Ta_fpl,Ta_geo,Ta_ch,Qx1_fpl,Qx1_geo,Qx1_ch,Qx2_fpl,Qx2_geo,Qx2_ch,Qy1_fpl,Qy1_geo,Qy1_ch,Qy2_fpl,Qy2_geo,Qy2_ch,Qy2_fpl,Qa_geo,Qa_ch
F1PPAC-1,1,0,0,0,0,0,1.232,1.233,1.24,1.28,0,0,-2,0,178.5,187.1,50000,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F1PPAC-2,1,0,0,0,0,0,1.219,1.238,0.86,0.77,0,0,-1.5,0,498.5,507.1,50000,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F2PPAC-1,2,0,0,0,0,0,1.229,1.233,0.75,0.63,0,0,0,-1.8,-895.1,-866.58,50000,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F2PPAC-2,2,0,0,0,0,0,1.225,1.232,0.84,0.46,0,0,1,-2,56.5,65.1,50000,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F3PPAC-1A,3,0.09765,0.09765,0.09765,0.09765,0.09765,1.24,-1.231,0.71,-0.29,0.852203554,2.234166667,1.05,0,-18.7,-10.1,50000,94.435,100.76,92.7592,99.5834,63,7,16,63,7,18,63,7,17,63,7,19,63,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F3PPAC-1B,3,0.09765,0.09765,0.09765,0.09765,0.09765,1.228,-1.232,1.09,-0.89,2.731828479,1.412612877,0.57,0,18.7,10.1,50000,89.1091,95.0939,93.9943,100.446,63,7,20,63,7,22,63,7,21,63,7,23,63,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F3PPAC-2A,3,0.09765,0.09765,0.09765,0.09765,0.09765,1.226,-1.227,1.4,-0.2,0.936089141,6.092022654,1.98,0,871.3,879.9,50000,169.176,177.745,91.817,99.0765,63,7,24,63,7,26,63,7,25,63,7,27,63,7,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F3PPAC-2B,3,0.09765,0.09765,0.09765,0.09765,0.09765,1.227,-1.232,1.6,-0.8,3.29642449,2.931472492,1.76,0,908.7,900.1,50000,171.322,181.048,96.9551,105.82,63,7,28,63,7,30,63,7,29,63,7,31,63,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F4PPAC,4,0,0,0,0,0,1.242,1.223,0.95,0.17,0,0,0,0,96.5,105.1,50000,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
F5PPAC-1A,5,0.09765,0.09765,0.09765,0.09765,0.09765,1.211,-1.228,1.34,-0.44,1.888984565,2.761918699,0,0,-418.7,-410.1,50000,171.369,182.733,92.8139,104.079,63,7,32,63,7,34,63,7,33,63,7,35,63,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
