NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
BPC_1_26,5,1,12,X,26,23,15,0,17,1,37
BPC_1_27,5,1,12,X,27,19,15,0,17,1,36
BPC_1_28,5,1,12,X,28,15,15,0,17,1,35
BPC_1_29,5,1,12,X,29,11,15,0,17,1,34
BPC_1_30,5,1,12,X,30,7,15,0,17,1,33
BPC_1_31,5,1,12,X,31,3,15,0,17,1,32
BPC_1_32,5,1,12,X,32,-1,15,0,17,1,31
BPC_1_33,5,1,12,X,33,-5,15,0,17,1,30
BPC_1_34,5,1,12,X,34,-9,15,0,17,1,29
BPC_1_35,5,1,12,X,35,-13,15,0,17,1,28
BPC_1_36,5,1,12,X,36,-17,15,0,17,1,27
BPC_1_37,5,1,12,X,37,-21,15,0,17,1,26
BPC_1_38,5,1,12,X,38,-25,15,0,17,1,25
BPC_1_39,5,1,12,X,39,-29,15,0,17,1,24
BPC_1_40,5,1,12,X,40,-33,15,0,17,1,23
BPC_1_41,5,1,12,X,41,-37,15,0,17,1,22
BPC_1_42,5,1,12,X,42,-41,15,0,17,1,21
BPC_1_43,5,1,12,X,43,-45,15,0,17,1,20
BPC_1_44,5,1,12,X,44,-49,15,0,17,1,19
BPC_1_45,5,1,12,X,45,-53,15,0,17,1,18
BPC_1_46,5,1,12,X,46,-57,15,0,17,1,17
BPC_1_47,5,1,12,X,47,-61,15,0,17,1,16
BPC_1_48,5,1,12,X,48,-65,15,0,17,1,15
BPC_1_49,5,1,12,X,49,-69,15,0,17,1,14
BPC_1_50,5,1,12,X,50,-73,15,0,17,1,13
BPC_1_51,5,1,12,X,51,-77,15,0,17,1,12
BPC_1_52,5,1,12,X,52,-81,15,0,17,1,11
BPC_1_53,5,1,12,X,53,-85,15,0,17,1,10
BPC_1_54,5,1,12,X,54,-89,15,0,17,1,9
BPC_1_55,5,1,12,X,55,-93,15,0,17,1,8
BPC_1_56,5,1,12,X,56,-97,15,0,17,1,7
BPC_1_57,5,1,12,X,57,-101,15,0,17,1,6
BPC_1_58,5,1,12,X,58,-105,15,0,17,1,5
BPC_1_59,5,1,12,X,59,-109,15,0,17,1,4
BPC_1_60,5,1,12,X,60,-113,15,0,17,1,3
BPC_1_61,5,1,12,X,61,-117,15,0,17,1,2
BPC_1_62,5,1,12,X,62,-121,15,0,17,1,1
BPC_1_63,5,1,12,X,63,-125,15,0,17,1,0
