NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODS1,13,0,0,0,0,0,1,0,1,32,9,0,9,8,31,8,0,8,8
HODS2,13,0,0,0,0,0,1,0,1,32,9,1,9,9,31,8,1,8,9
HODS3,13,0,0,0,0,0,1,0,1,32,9,2,9,10,31,8,2,8,10
HODS4,13,0,0,0,0,0,1,0,1,32,9,3,9,11,31,8,3,8,11
HODS5,13,0,0,0,0,0,1,0,1,32,9,4,9,12,31,8,4,8,12
HODS6,13,0,0,0,0,0,1,0,1,32,9,5,9,13,31,8,5,8,13
HODS7,13,0,0,0,0,0,1,0,1,32,9,6,9,14,31,8,6,8,14
