NAME,FPL,direction,layer,bar,qcal0,qped0,tdc0ns0,tdc25ns0,tdc0ns0_t17,tdc25ns0_t17,qcal1,qped1,tdc0ns1,tdc25ns1,tdc0ns1_t17,tdc25ns1_t17,tdiff_offset,sync_offset,vscint,ediff_offset,esync_offset,att,crate0,module0,channel0,sam0,gtb0,crate1,module1,channel1,sam1,gtb1,zpos
NeuLANDPla0H-0,13,H,0,0,1,44,1178,3284,1141,3281,1,41,1203,3278,1154,3276,62.85,33.4286,8.07834,0.988408,0.061356,338.661,1,9,11,6,0,4,2,1,5,1,11165
NeuLANDPla0H-1,13,H,0,1,1,7,1326,3277,1141,3281,1,38,1126,3278,1154,3276,63.1873,31.8776,7.99687,0.998441,0.0609131,429.976,1,9,10,6,0,4,2,0,5,1,11165
NeuLANDPla0H-2,13,H,0,2,1,9,1177,3271,1141,3281,1,26,1216,3273,1154,3276,61.4874,31.6598,8.11796,1.01356,0.0619758,489.34,1,9,9,6,0,4,2,15,5,1,11165
NeuLANDPla0H-3,13,H,0,3,1,11,1214,3282,1141,3281,1,80,1156,3270,1154,3276,60.9516,33.24,8.03964,1.01174,0.0618941,431.044,1,9,8,6,0,4,2,14,5,1,11165
NeuLANDPla0H-4,13,H,0,4,1,14,1307,3280,1236,3288,1,63,1159,3261,1154,3276,64.7831,33.9257,8.07462,0.98978,0.0606145,480.594,1,10,7,6,0,4,2,13,5,1,11165
NeuLANDPla0H-5,13,H,0,5,1,36,1341,3261,1236,3288,1,32,1172,3275,1154,3276,65.1681,34.4467,8.08207,1.00619,0.0621519,485.599,1,10,6,6,0,4,2,12,5,1,11165
NeuLANDPla0H-6,13,H,0,6,1,14,1282,3279,1236,3288,1,75,1218,3270,1154,3276,64.0696,34.1955,8.01675,1.00837,0.061683,480.236,1,10,5,6,0,4,2,11,5,1,11165
NeuLANDPla0H-7,13,H,0,7,1,11,1355,3259,1236,3288,1,76,1197,3270,1154,3276,64.5064,33.2964,8.01964,1.01429,0.0621676,407.287,1,10,4,6,0,4,2,10,5,1,11165
NeuLANDPla0H-8,13,H,0,8,1,43,1287,3284,1236,3288,1,61,1217,3270,1154,3276,64.5301,33.3547,8.18194,0.996355,0.0616165,531.169,1,10,3,6,0,4,2,9,5,1,11165
NeuLANDPla0H-9,13,H,0,9,1,11,1334,3268,1236,3288,1,29,1157,3269,1154,3276,65.2267,34.1661,8.11823,1.01033,0.0622981,472.262,1,10,2,6,0,4,2,8,5,1,11165
NeuLANDPla0H-10,13,H,0,10,1,5,1253,3271,1236,3288,1,18,1339,3272,1266,3277,64.7052,33.8996,8.03648,1.01314,0.0623049,436.485,1,10,1,6,0,4,3,7,5,1,11165
NeuLANDPla0H-11,13,H,0,11,1,40,1314,3265,1236,3288,1,40,1272,3282,1266,3277,63.7817,33.0769,8.14305,1.00935,0.0621651,547.842,1,10,0,6,0,4,3,6,5,1,11165
NeuLANDPla0H-12,13,H,0,12,1,15,1253,3286,1236,3288,1,80,1255,3277,1266,3277,65.4366,33.5313,8.05762,1.0095,0.0619497,468.398,1,10,15,6,0,4,3,5,5,1,11165
NeuLANDPla0H-13,13,H,0,13,1,17,1255,3272,1236,3288,1,65,1271,3274,1266,3277,65.1476,33.5416,8.07302,1.01061,0.0621084,467.566,1,10,14,6,0,4,3,4,5,1,11165
NeuLANDPla0H-14,13,H,0,14,1,17,1234,3285,1236,3288,1,62,1309,3271,1266,3277,65.0487,33.7215,8.06452,1.00488,0.0614892,526.18,1,10,13,6,0,4,3,3,5,1,11165
NeuLANDPla0H-15,13,H,0,15,1,12,1250,3276,1236,3288,1,31,1274,3276,1266,3277,62.5072,33.4279,8.12092,1.00265,0.0625653,496.938,1,10,12,6,0,4,3,2,5,1,11165
NeuLANDPla0H-16,13,H,0,16,1,48,1250,3268,1236,3288,1,56,1289,3275,1266,3277,64.0236,33.2727,8.07222,1.01356,0.0621848,510.138,1,10,11,6,0,4,3,1,5,1,11165
NeuLANDPla0H-17,13,H,0,17,1,13,1343,3266,1236,3288,1,33,1248,3275,1266,3277,64.3667,33.101,8.18358,1.01553,0.0614758,572.993,1,10,10,6,0,4,3,0,5,1,11165
