NAME,FPL,direction,layer,bar,qcal0,qped0,tdc0ns0,tdc25ns0,tdc0ns0_t17,tdc25ns0_t17,qcal1,qped1,tdc0ns1,tdc25ns1,tdc0ns1_t17,tdc25ns1_t17,tdiff_offset,sync_offset,vscint,ediff_offset,esync_offset,att,crate0,module0,channel0,sam0,gtb0,crate1,module1,channel1,sam1,gtb1,zpos
NeuLANDPla0H-28,13,H,0,28,1,9,1192,3290,1119,3288,1,52.69,1214,3271,1215,3277,57.8763,32.3108,8.16148,0.995392,0.0609712,580.375,2,8,15,6,1,4,4,5,5,1,11165
NeuLANDPla0H-29,13,H,0,29,1,2,1186,3285,1119,3288,1,46,1205,3261,1215,3277,58.4691,32.005,8.13989,1.00463,0.0614104,513.724,2,8,14,6,1,4,4,4,5,1,11165
NeuLANDPla0H-30,13,H,0,30,1,24,1092,3283,1119,3288,1,65,1205,3277,1215,3277,57.6437,32.4249,8.00858,1.00508,0.0629458,432.868,2,8,13,6,1,4,4,3,5,1,11165
NeuLANDPla0H-31,13,H,0,31,1,5,1180,3278,1119,3288,1,32,1239,3272,1215,3277,57.6315,32.2605,8.05505,0.998189,0.0622141,467.015,2,8,12,6,1,4,4,2,5,1,11165
NeuLANDPla0H-32,13,H,0,32,1,3,1146,3284,1119,3288,1,46,1179,3277,1215,3277,58.5223,31.6089,8.12687,1.02891,0.0621035,588.851,2,8,11,6,1,4,4,1,5,1,11165
NeuLANDPla0H-33,13,H,0,33,1,57,1141,3279,1119,3288,1,46,1221,3268,1215,3277,56.8446,32.0982,8.11108,1.00393,0.061836,585.807,2,8,10,6,1,4,4,0,5,1,11165
NeuLANDPla0H-34,13,H,0,34,1,12,1193,3284,1119,3288,1,46,1309,3277,1215,3277,57.6699,31.6876,8.12367,1.00561,0.0605408,491.923,2,8,9,6,1,4,4,15,5,1,11165
NeuLANDPla0H-35,13,H,0,35,1,27,1241,3283,1119,3288,1,34,1235,3269,1215,3277,57.8395,32.4624,8.0537,0.991732,0.0622459,408.003,2,8,8,6,1,4,4,14,5,1,11165
NeuLANDPla0H-36,13,H,0,36,1,9,1190,3281,1203,3290,1,48,1255,3271,1215,3277,57.8683,32.2273,8.12245,0.989151,0.0624445,440.803,2,9,7,6,1,4,4,13,5,1,11165
NeuLANDPla0H-37,13,H,0,37,1,15,1221,3282,1203,3290,1,53,1224,3264,1215,3277,56.5881,32.5991,8.10456,0.956765,0.0592961,524.791,2,9,6,6,1,4,4,12,5,1,11165
NeuLANDPla0H-38,13,H,0,38,1,7,1173,3278,1203,3290,1,24,1229,3273,1215,3277,58.8027,31.9527,8.07395,1.05265,0.0597988,432.438,2,9,5,6,1,4,4,11,5,1,11165
NeuLANDPla0H-39,13,H,0,39,1,7,1184,3273,1203,3290,1,71,1257,3269,1215,3277,57.4483,32.1144,8.07313,0.994803,0.0614677,466.687,2,9,4,6,1,4,4,10,5,1,11165
NeuLANDPla0H-40,13,H,0,40,1,27,1199,3284,1203,3290,1,44,1276,3271,1215,3277,57.4965,31.6961,8.12301,1.0038,0.0608675,458.839,2,9,3,6,1,4,4,9,5,1,11165
NeuLANDPla0H-41,13,H,0,41,1,16,1191,3274,1203,3290,1,100,1250,3267,1215,3277,56.9852,32.7081,8.03712,1.00456,0.0617009,470.322,2,9,2,6,1,4,4,8,5,1,11165
NeuLANDPla0H-42,13,H,0,42,1,32,1142,3279,1203,3290,1,26,1257,3279,1202,3284,57.7825,31.8057,8.14909,0.999463,0.0634667,480.605,2,9,1,6,1,4,5,7,5,1,11165
NeuLANDPla0H-43,13,H,0,43,1,1,1229,3292,1203,3290,1,36,1180,3280,1202,3284,56.7764,31.8387,8.1397,1.05168,0.059084,470.656,2,9,0,6,1,4,5,6,5,1,11165
NeuLANDPla0H-44,13,H,0,44,1,26,1140,3288,1203,3290,1,71,1121,3270,1202,3284,59.1095,31.7913,8.16076,1.01981,0.0603572,536.773,2,9,15,6,1,4,5,5,5,1,11165
NeuLANDPla0H-45,13,H,0,45,1,48,1192,3279,1203,3290,1,69,1172,3278,1202,3284,58.3581,31.7326,8.13105,0.973148,0.0619263,417.696,2,9,14,6,1,4,5,4,5,1,11165
NeuLANDPla0H-46,13,H,0,46,1,5,1140,3286,1203,3290,1,55,1230,3281,1202,3284,57.6222,31.9411,8.10977,1.04502,0.060736,442.252,2,9,13,6,1,4,5,3,5,1,11165
