NAME,FPL,direction,layer,bar,qcal0,qped0,tdc0ns0,tdc25ns0,tdc0ns0_t17,tdc25ns0_t17,qcal1,qped1,tdc0ns1,tdc25ns1,tdc0ns1_t17,tdc25ns1_t17,tdiff_offset,sync_offset,vscint,ediff_offset,esync_offset,att,crate0,module0,channel0,sam0,gtb0,crate1,module1,channel1,sam1,gtb1,zpos
NeuLANDPla0H-0,13,H,0,0,1,44,1178,3284,1141,3281,1,41,1203,3278,1154,3276,59.2829,-20.538,7.96286,1.01287,0.0627596,389.773,1,9,11,6,0,4,2,1,5,1,11165
NeuLANDPla0H-1,13,H,0,1,1,7,1326,3277,1141,3281,1,38,1126,3278,1154,3276,59.945,-20.8617,8.03036,1.01649,0.0639859,412.53,1,9,10,6,0,4,2,0,5,1,11165
NeuLANDPla0H-2,13,H,0,2,1,9,1177,3271,1141,3281,1,26,1216,3273,1154,3276,59.0082,-20.8719,8.10899,0.991407,0.0650067,473.834,1,9,9,6,0,4,2,15,5,1,11165
NeuLANDPla0H-3,13,H,0,3,1,11,1214,3282,1141,3281,1,80,1156,3270,1154,3276,58.6802,-20.6266,8.03406,1.02754,0.0641841,413.71,1,9,8,6,0,4,2,14,5,1,11165
NeuLANDPla0H-4,13,H,0,4,1,14,1307,3280,1236,3288,1,63,1159,3261,1154,3276,62.2008,-18.8663,8.03052,1.00574,0.0635363,454.953,1,10,7,6,0,4,2,13,5,1,11165
NeuLANDPla0H-5,13,H,0,5,1,36,1341,3261,1236,3288,1,32,1172,3275,1154,3276,62.5595,-18.8974,8.04445,1.01297,0.0649114,473.573,1,10,6,6,0,4,2,12,5,1,11165
NeuLANDPla0H-6,13,H,0,6,1,14,1282,3279,1236,3288,1,75,1218,3270,1154,3276,61.5206,-18.7129,8.05179,1.00489,0.0660619,466.783,1,10,5,6,0,4,2,11,5,1,11165
NeuLANDPla0H-7,13,H,0,7,1,11,1355,3259,1236,3288,1,76,1197,3270,1154,3276,61.635,-19.2979,7.99984,1.01192,0.0649735,385.069,1,10,4,6,0,4,2,10,5,1,11165
NeuLANDPla0H-8,13,H,0,8,1,43,1287,3284,1236,3288,1,61,1217,3270,1154,3276,61.7928,-19.5446,8.11496,1.00045,0.064248,509.354,1,10,3,6,0,4,2,9,5,1,11165
NeuLANDPla0H-9,13,H,0,9,1,11,1334,3268,1236,3288,1,29,1157,3269,1154,3276,62.1949,-18.6657,8.09495,1.00725,0.0651379,465.049,1,10,2,6,0,4,2,8,5,1,11165
NeuLANDPla0H-10,13,H,0,10,1,5,1253,3271,1236,3288,1,18,1339,3272,1266,3277,61.9173,-18.8536,8.05283,1.00178,0.0659826,410.104,1,10,1,6,0,4,3,7,5,1,11165
NeuLANDPla0H-11,13,H,0,11,1,40,1314,3265,1236,3288,1,40,1272,3282,1266,3277,61.1466,-19.4554,8.06304,1.00873,0.0637315,539.369,1,10,0,6,0,4,3,6,5,1,11165
NeuLANDPla0H-12,13,H,0,12,1,15,1253,3286,1236,3288,1,80,1255,3277,1266,3277,62.6011,-19.2082,8.0898,1.01634,0.0652415,449.106,1,10,15,6,0,4,3,5,5,1,11165
NeuLANDPla0H-13,13,H,0,13,1,17,1255,3272,1236,3288,1,65,1271,3274,1266,3277,62.4422,-19.2408,8.09009,1.01229,0.065628,459.5,1,10,14,6,0,4,3,4,5,1,11165
NeuLANDPla0H-14,13,H,0,14,1,17,1234,3285,1236,3288,1,62,1309,3271,1266,3277,62.2838,-18.9294,8.04991,1.0135,0.0653855,511.576,1,10,13,6,0,4,3,3,5,1,11165
NeuLANDPla0H-15,13,H,0,15,1,12,1250,3276,1236,3288,1,31,1274,3276,1266,3277,60.4791,-19.361,8.05539,1.02349,0.0650075,483.29,1,10,12,6,0,4,3,2,5,1,11165
NeuLANDPla0H-16,13,H,0,16,1,48,1250,3268,1236,3288,1,56,1289,3275,1266,3277,61.5098,-19.3518,8.02542,1.00239,0.0646969,487.295,1,10,11,6,0,4,3,1,5,1,11165
NeuLANDPla0H-17,13,H,0,17,1,13,1343,3266,1236,3288,1,33,1248,3275,1266,3277,61.8181,-19.3599,8.13111,1.01486,0.0628749,552.338,1,10,10,6,0,4,3,0,5,1,11165
NeuLANDPla0H-18,13,H,0,18,1,5,1251,3271,1236,3288,1,75,1279,3272,1266,3277,61.8625,-18.3049,8.03292,1.01159,0.0650681,512.412,1,10,9,6,0,4,3,15,5,1,11165
NeuLANDPla0H-19,13,H,0,19,1,19,1375,3263,1236,3288,1,36,1285,3282,1266,3277,63.0198,-19.2104,8.04162,1.01394,0.0645312,528.415,1,10,8,6,0,4,3,14,5,1,11165
NeuLANDPla0H-20,13,H,0,20,1,4,1192,3287,1119,3288,1,40,1350,3272,1266,3277,53.3439,-23.3692,8.11497,1.01059,0.0631089,566.631,2,8,7,6,1,4,3,13,5,1,11165
NeuLANDPla0H-21,13,H,0,21,1,56,1175,3277,1119,3288,1,33,1281,3275,1266,3277,54.4826,-23.3374,8.10364,0.993834,0.065883,501.209,2,8,6,6,1,4,3,12,5,1,11165
NeuLANDPla0H-22,13,H,0,22,1,24,1187,3280,1119,3288,1,32,1332,3269,1266,3277,52.9608,-23.3998,8.07864,1.00421,0.063299,540.71,2,8,5,6,1,4,3,11,5,1,11165
NeuLANDPla0H-23,13,H,0,23,1,20,1261,3284,1119,3288,1,76,1281,3278,1266,3277,53.4477,-23.7569,8.05022,0.968205,0.0611319,514.564,2,8,4,6,1,4,3,10,5,1,11165
NeuLANDPla0H-24,13,H,0,24,1,7,1125,3282,1119,3288,1,54,1319,3270,1266,3277,53.0167,-23.3312,8.10397,1.00982,0.0627967,573.23,2,8,3,6,1,4,3,9,5,1,11165
NeuLANDPla0H-25,13,H,0,25,1,4,1162,3276,1119,3288,1,30,1259,3273,1266,3277,51.9674,-23.1617,8.03208,0.996184,0.0645928,581.559,2,8,2,6,1,4,3,8,5,1,11165
NeuLANDPla0H-26,13,H,0,26,1,37,1164,3284,1119,3288,1,100,1271,3273,1215,3277,51.993,-22.9498,8.09693,1.03863,0.0615785,546.018,2,8,1,6,1,4,4,7,5,1,11165
NeuLANDPla0H-27,13,H,0,27,1,2,1172,3278,1119,3288,1,56,1216,3267,1215,3277,52.7056,-23.493,8.12756,1.03674,0.0610399,578.975,2,8,0,6,1,4,4,6,5,1,11165
NeuLANDPla0H-28,13,H,0,28,1,8,1192,3290,1119,3288,1,67,1214,3271,1215,3277,52.94,-22.7911,8.09378,1.04044,0.0606343,550.672,2,8,15,6,1,4,4,5,5,1,11165
NeuLANDPla0H-29,13,H,0,29,1,2,1186,3285,1119,3288,1,62,1205,3261,1215,3277,53.4822,-23.1448,8.08439,1.06152,0.0616135,511.462,2,8,14,6,1,4,4,4,5,1,11165
NeuLANDPla0H-30,13,H,0,30,1,23,1092,3283,1119,3288,1,82,1205,3277,1215,3277,52.773,-22.9496,8.0276,1.03692,0.0631356,448.489,2,8,13,6,1,4,4,3,5,1,11165
NeuLANDPla0H-31,13,H,0,31,1,5,1180,3278,1119,3288,1,48,1239,3272,1215,3277,52.5444,-23.164,8.03037,1.0436,0.0628622,453.666,2,8,12,6,1,4,4,2,5,1,11165
NeuLANDPla0H-32,13,H,0,32,1,0,1146,3284,1119,3288,1,62,1179,3277,1215,3277,53.4515,-23.5148,8.06806,1.04894,0.0617923,521.416,2,8,11,6,1,4,4,1,5,1,11165
NeuLANDPla0H-33,13,H,0,33,1,56,1141,3279,1119,3288,1,62,1221,3268,1215,3277,51.9856,-23.1349,8.07276,1.04367,0.0612891,538.711,2,8,10,6,1,4,4,0,5,1,11165
NeuLANDPla0H-34,13,H,0,34,1,12,1193,3284,1119,3288,1,62,1309,3277,1215,3277,52.5373,-23.3994,8.05856,1.04846,0.0596434,481.58,2,8,9,6,1,4,4,15,5,1,11165
NeuLANDPla0H-35,13,H,0,35,1,26,1241,3283,1119,3288,1,50,1235,3269,1215,3277,52.9847,-22.8058,8.01434,1.05002,0.0635045,428.863,2,8,8,6,1,4,4,14,5,1,11165
NeuLANDPla0H-36,13,H,0,36,1,8,1190,3281,1203,3290,1,64,1255,3271,1215,3277,53.0224,-22.8088,8.00989,1.04279,0.061215,445.728,2,9,7,6,1,4,4,13,5,1,11165
NeuLANDPla0H-37,13,H,0,37,1,14,1221,3282,1203,3290,1,70,1224,3264,1215,3277,51.8379,-22.8241,8.11831,1.00941,0.0593836,511.008,2,9,6,6,1,4,4,12,5,1,11165
NeuLANDPla0H-38,13,H,0,38,1,6,1173,3278,1203,3290,1,41,1229,3273,1215,3277,53.4512,-22.9964,8.0152,1.05057,0.06113,405.929,2,9,5,6,1,4,4,11,5,1,11165
NeuLANDPla0H-39,13,H,0,39,1,5,1184,3273,1203,3290,1,88,1257,3269,1215,3277,52.7627,-23.1295,8.04512,1.05844,0.0620028,477.206,2,9,4,6,1,4,4,10,5,1,11165
NeuLANDPla0H-40,13,H,0,40,1,26,1199,3284,1203,3290,1,60,1276,3271,1215,3277,52.7078,-23.2466,8.06187,1.05004,0.0600823,455.244,2,9,3,6,1,4,4,9,5,1,11165
NeuLANDPla0H-41,13,H,0,41,1,15,1191,3274,1203,3290,1,117,1250,3267,1215,3277,51.9518,-22.5149,7.98321,1.05031,0.0615899,485.308,2,9,2,6,1,4,4,8,5,1,11165
