NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
FDC2_0_0,13,0,61,X,0,1105,-308.66,0,30,0,0
FDC2_0_1,13,0,61,X,1,1085,-308.66,0,30,0,2
FDC2_0_2,13,0,61,X,2,1065,-308.66,0,30,0,4
FDC2_0_3,13,0,61,X,3,1045,-308.66,0,30,0,6
FDC2_0_4,13,0,61,X,4,1025,-308.66,0,30,0,8
FDC2_0_5,13,0,61,X,5,1005,-308.66,0,30,0,10
FDC2_0_6,13,0,61,X,6,985,-308.66,0,30,0,12
FDC2_0_7,13,0,61,X,7,965,-308.66,0,30,0,14
FDC2_0_8,13,0,61,X,8,945,-308.66,0,30,0,16
FDC2_0_9,13,0,61,X,9,925,-308.66,0,30,0,18
FDC2_0_10,13,0,61,X,10,905,-308.66,0,30,0,20
FDC2_0_11,13,0,61,X,11,885,-308.66,0,30,0,22
FDC2_0_12,13,0,61,X,12,865,-308.66,0,30,0,24
FDC2_0_13,13,0,61,X,13,845,-308.66,0,30,0,26
FDC2_0_14,13,0,61,X,14,825,-308.66,0,30,0,28
FDC2_0_15,13,0,61,X,15,805,-308.66,0,30,0,30
FDC2_0_16,13,0,61,X,16,785,-308.66,0,30,0,32
FDC2_0_17,13,0,61,X,17,765,-308.66,0,30,0,34
FDC2_0_18,13,0,61,X,18,745,-308.66,0,30,0,36
FDC2_0_19,13,0,61,X,19,725,-308.66,0,30,0,38
FDC2_0_20,13,0,61,X,20,705,-308.66,0,30,0,40
FDC2_0_21,13,0,61,X,21,685,-308.66,0,30,0,42
FDC2_0_22,13,0,61,X,22,665,-308.66,0,30,0,44
FDC2_0_23,13,0,61,X,23,645,-308.66,0,30,0,46
FDC2_0_24,13,0,61,X,24,625,-308.66,0,30,0,48
FDC2_0_25,13,0,61,X,25,605,-308.66,0,30,0,50
FDC2_0_26,13,0,61,X,26,585,-308.66,0,30,0,52
FDC2_0_27,13,0,61,X,27,565,-308.66,0,30,0,54
FDC2_0_28,13,0,61,X,28,545,-308.66,0,30,0,56
FDC2_0_29,13,0,61,X,29,525,-308.66,0,30,0,58
FDC2_0_30,13,0,61,X,30,505,-308.66,0,30,0,60
FDC2_0_31,13,0,61,X,31,485,-308.66,0,30,0,62
FDC2_0_32,13,0,61,X,32,465,-308.66,0,30,1,0
FDC2_0_33,13,0,61,X,33,445,-308.66,0,30,1,2
FDC2_0_34,13,0,61,X,34,425,-308.66,0,30,1,4
FDC2_0_35,13,0,61,X,35,405,-308.66,0,30,1,6
FDC2_0_36,13,0,61,X,36,385,-308.66,0,30,1,8
FDC2_0_37,13,0,61,X,37,365,-308.66,0,30,1,10
FDC2_0_38,13,0,61,X,38,345,-308.66,0,30,1,12
FDC2_0_39,13,0,61,X,39,325,-308.66,0,30,1,14
FDC2_0_40,13,0,61,X,40,305,-308.66,0,30,1,16
FDC2_0_41,13,0,61,X,41,285,-308.66,0,30,1,18
FDC2_0_42,13,0,61,X,42,265,-308.66,0,30,1,20
FDC2_0_43,13,0,61,X,43,245,-308.66,0,30,1,22
FDC2_0_44,13,0,61,X,44,225,-308.66,0,30,1,24
FDC2_0_45,13,0,61,X,45,205,-308.66,0,30,1,26
FDC2_0_46,13,0,61,X,46,185,-308.66,0,30,1,28
FDC2_0_47,13,0,61,X,47,165,-308.66,0,30,1,30
FDC2_0_48,13,0,61,X,48,145,-308.66,0,30,1,32
FDC2_0_49,13,0,61,X,49,125,-308.66,0,30,1,34
FDC2_0_50,13,0,61,X,50,105,-308.66,0,30,1,36
FDC2_0_51,13,0,61,X,51,85,-308.66,0,30,1,38
FDC2_0_52,13,0,61,X,52,65,-308.66,0,30,1,40
FDC2_0_53,13,0,61,X,53,45,-308.66,0,30,1,42
FDC2_0_54,13,0,61,X,54,25,-308.66,0,30,1,44
FDC2_0_55,13,0,61,X,55,5,-308.66,0,30,1,46
FDC2_0_56,13,0,61,X,56,-15,-308.66,0,30,1,48
FDC2_0_57,13,0,61,X,57,-35,-308.66,0,30,1,50
FDC2_0_58,13,0,61,X,58,-55,-308.66,0,30,1,52
FDC2_0_59,13,0,61,X,59,-75,-308.66,0,30,1,54
FDC2_0_60,13,0,61,X,60,-95,-308.66,0,30,1,56
FDC2_0_61,13,0,61,X,61,-115,-308.66,0,30,1,58
FDC2_0_62,13,0,61,X,62,-135,-308.66,0,30,1,60
FDC2_0_63,13,0,61,X,63,-155,-308.66,0,30,1,62
FDC2_0_64,13,0,61,X,64,-175,-308.66,0,30,2,0
FDC2_0_65,13,0,61,X,65,-195,-308.66,0,30,2,2
FDC2_0_66,13,0,61,X,66,-215,-308.66,0,30,2,4
FDC2_0_67,13,0,61,X,67,-235,-308.66,0,30,2,6
FDC2_0_68,13,0,61,X,68,-255,-308.66,0,30,2,8
FDC2_0_69,13,0,61,X,69,-275,-308.66,0,30,2,10
FDC2_0_70,13,0,61,X,70,-295,-308.66,0,30,2,12
FDC2_0_71,13,0,61,X,71,-315,-308.66,0,30,2,14
FDC2_0_72,13,0,61,X,72,-335,-308.66,0,30,2,16
FDC2_0_73,13,0,61,X,73,-355,-308.66,0,30,2,18
FDC2_0_74,13,0,61,X,74,-375,-308.66,0,30,2,20
FDC2_0_75,13,0,61,X,75,-395,-308.66,0,30,2,22
FDC2_0_76,13,0,61,X,76,-415,-308.66,0,30,2,24
FDC2_0_77,13,0,61,X,77,-435,-308.66,0,30,2,26
FDC2_0_78,13,0,61,X,78,-455,-308.66,0,30,2,28
FDC2_0_79,13,0,61,X,79,-475,-308.66,0,30,2,30
FDC2_0_80,13,0,61,X,80,-495,-308.66,0,30,2,32
FDC2_0_81,13,0,61,X,81,-515,-308.66,0,30,2,34
FDC2_0_82,13,0,61,X,82,-535,-308.66,0,30,2,36
FDC2_0_83,13,0,61,X,83,-555,-308.66,0,30,2,38
FDC2_0_84,13,0,61,X,84,-575,-308.66,0,30,2,40
FDC2_0_85,13,0,61,X,85,-595,-308.66,0,30,2,42
